,comment,sentiment
0,"적당히 달달해서 딱 좋음! 너무 달면 질리는데 이건 안 그래요. 비주얼도 예쁘고, 가격도 나쁘지 않아서 자주 사먹을 듯!",1
1,"와, 적당히 달달한 맛이 완전 취향 저격임. 디저트 비주얼도 대박임 ㅋㅋ",1
2,"달달한 거 좋아하는데, 이건 적당히 달달해서 먹기 딱 좋아요. 과하지 않아서 물리지 않고, 향도 은은해서 기분까지 좋아짐!",1
3,"적당히 달달한 게 완전 핵심이네! 너무 달면 질리는데, 이건 계속 먹어도 안 질림 ㅋㅋ",1
4,"적당히 달달하니까 먹고 나서도 부담이 없어요. 가격도 괜찮고, 향도 좋아서 한 번 먹어보세요!",1
5,적당히 달달해서 너무 좋음! 과하게 달지 않아서 부담 없이 먹기 딱임 ㅋㅋ,1
6,"요즘 달달이들 넘 많은데, 이거야말로 적당히 달달해서 부담 없고 맛있더라. 가격도 괜찮고 비주얼도 깔끔해서 친구들이랑 나눠먹기 딱 좋아요!",1
7,적당히 달달하니 입 안에서 사라질 때까지 행복함 ㅋㅋ,1
8,적당히 달달해서 커피랑 완전 찰떡임. 다른 것보다 덜 달아서 더 자주 찾게 되는 듯!,1
9,달달한 거 안 좋아하는 사람도 괜찮을 정도로 적당히 달달함. 디저트는 달아야 한다는 고정관념을 깨준 느낌! 비주얼도 상큼하니 더 먹고 싶어짐.,1
10,적당히달달해서 딱 좋음! 너무 달아서 머리 아픈 거 ㄴㄴ.,1
11,적당히달달한 게 완전 취향 저격! 가격도 부담 없어서 자주 사 먹게 되네.,1
12,"와, 이거 적당히달달해서 ㄹㅇ 먹기 좋다. 비주얼도 깔끔하고, 너무 달지 않아 좋음!",1 
13,적당히달달한데 향도 너무 좋음. 비주얼까지 예뻐서 먹기 전에 사진 찍고 싶어짐!,1
14,"달달한 거 잘 못 먹는데, 이건 적당히달달해서 좋았어요. 맛도 자연스럽고, 가격도 괜찮아서 만족했습니다.",1
15,"와, 이거 진짜 달달하네! 한입 먹자마자 기분 좋아짐ㅋㅋ",1
16,너무 달아서 오히려 더 매력적인 것 같아요. 디저트는 달아야 제맛이죠! 거기에 비주얼까지 예쁘니 금상첨화네요.,1
17,달다구리 끝판왕! 뭐 하나 부족한 게 없네.,1
18,"달긴 한데, 그렇게 부담스럽지 않아서 좋음. 가격도 착해서 가성비 굿굿!",1
19,감미로운 향에 달콤함이 더해져서 입안 가득 행복이 차오름. 다른 디저트랑 비교해도 꿀리지 않음!,1
20,ㄹㅇ 달다구리! 이 정도 달달함이면 스트레스가 싹 사라지는 기분임. 😋,1
